group,vol,value,long,lat,longdest,latdest,longoff,latoff
Russia,1,12653331,37.6,55.7,37.6,55.7,0,0
Ukraine,0.396583161,5018098,37.6,55.7,30.3,50.3,0,0
Kazakhstan,0.19553041,2474111,37.6,55.7,71.4,51.1,0,0
Uzbekistan,0.100147621,1267201,37.6,55.7,69.2,41.2,0,0
Belarus,0.062554437,791522,37.6,55.7,27.5,53.9,0,0
USA,0.015067495,190654,37.6,55.7,-77,38.9,0,0
Tajikistan,0.02873275,363565,37.6,55.7,68.48,38.33,0,0
Latvia,0.03739782,473207,37.6,55.7,24.08,56.53,0,0
Kyrgyzstan,0.027595421,349174,37.6,55.7,74.46,42.54,0,0
Estonia,0.022401769,283457,37.6,55.7,24.48,59.22,0,0
Israel,0.013904481,175938,37.6,55.7,35.12,31.47,-28,0
Moldova,0.017827005,225571,37.6,55.7,28.5,47,0,0
Lithuania,0.012522236,158448,37.6,55.7,25.2,54.4,0,0
Turkmenistan,0.009351214,118324,37.6,55.7,57.5,38,0,0
Georgia,0.011940729,151090,37.6,55.7,44.5,41.4,0,0
Afghanistan,1,7679582,69.1,34.3,69.1,34.3,0,0
Iran,0.51829735,3980307,69.1,34.3,51.3,35.4,0,0
Pakistan,0.439473529,3374973,69.1,34.3,73.1,33.4,0,0
Saudi Arabia,0.021648965,166255,69.1,34.3,46.4,24.4,0,0
India,1,6619431,77.2,28.6,77.2,28.6,0,0
Pakistan,0.425753815,2818248,77.2,28.6,73.1,33.4,0,0
USA,0.068043009,450406,77.2,28.6,-77,38.9,0,0
Saudi Arabia,0.136940471,906468,77.2,28.6,46.4,24.4,-40,0
United Arab Emirates,0.069234652,458294,77.2,28.6,54.2,24.3,-30,8
Nepal,0.055800869,369370,77.2,28.6,85.2,27.5,0,0
United Kingdom,0.060356547,399526,77.2,28.6,-0.1,51.4,-40,0
Kuwait,0.056679041,375183,77.2,28.6,48,39.3,0,0
Oman,0.023046392,152554,77.2,28.6,58.4,23.4,0,0
Canada,0.025174369,166640,77.2,28.6,-75.4,45.3,0,10
Ukraine,1,5545517,30.3,50.3,30.3,50.3,0,0
Russia,0.595421852,3301922,30.3,50.3,37.6,55.7,0,0
Poland,0.079107503,438692,30.3,50.3,21,52.1,0,0
Kazakhstan,0.064207359,356063,30.3,50.3,71.3,51.1,0,0
Belarus,0.047217419,261845,30.3,50.3,27.3,53.5,0,0
USA,0.027808228,154211,30.3,50.3,-77,38.9,0,0
Israel,0.030309347,168081,30.3,50.3,35.1,31.5,-28,0
Moldova,0.043948472,243717,30.3,50.3,28.5,47,0,0
Uzbekistan,0.03249706,180213,30.3,50.3,69.2,41.2,0,0
Bangladesh,1,5450443,90.3,23.4,90.3,23.4,0,0
India,0.802715486,4375155,90.3,23.4,77.2,28.6,0,0
Saudi Arabia,0.087952484,479380,90.3,23.4,46.4,24.4,-40,0
United Arab Emirates,0.028414021,154869,90.3,23.4,54.2,24.3,-30,8
Kuwait,0.023261045,126783,90.3,23.4,48,39.3,0,0
United Kingdom,0.018783794,102380,90.3,23.4,-0.1,51.4,-40,0
