destination,origin,people,male,female,longdest,latdest,long,lat,longoff,latoff
USA,Mexico,11643298,6230901,5412397,-77,38.9,-99.1,19.24,0,0
Ukraine,Russia,3275758,1347176,1928582,30.5,50.4,37.6,55.7,0,0
Russia,Ukraine,3269992,1518786,1751206,37.6,55.7,30.5,50.4,0,0
United Arab Emirates,India,3184043,2445963,738080,54.3,24.4,77.2,28.6,0,0
Turkey,Syria,2714774,1655872,1058902,32.54,39.57,36.18,33.3,0,0
USA,China,2676697,1298394,1378303,-77,38.9,116.4,39.9,0,0
India,Bangladesh,2660632,1349706,1310926,77.2,28.6,90.26,23.43,0,0
Iran,Afghanistan,2621236,1429578,1191658,51.3,35.4,69.1,34.3,0,0
Russia,Kazakhstan,2560269,1177958,1382311,37.6,55.7,71.4,51.1,0,0
USA,India,2389639,1258676,1130963,-77,38.9,77.2,28.6,0,0
Kazakhstan,Russia,2352598,1144573,1208025,71.4,51.1,37.6,55.7,0,0
Jordan,State of Palestine,2117361,1056617,1060744,35.52,31.57,35.2,32.03,0,0
Saudi Arabia,India,2003256,1406156,597100,46.6,24.7,77.2,28.6,0,0
USA,Philippines,1982369,754986,1227383,-77,38.9,121,14.4,0,0
Thailand,Myanmar,1760543,948706,811837,100.3,13.45,96.2,16.45,0,0
Pakistan,Afghanistan,1710378,810665,899713,73.1,33.4,69.1,34.3,0,0
Pakistan,India,1709217,988946,720271,73.1,33.4,77.2,28.6,0,0
USA,Puerto Rico,1695637,831150,864487,-77,38.9,-66.1,18.3,0,0
Germany,Poland,1561763,731503,830260,13.3,52.3,21,52.1,0,0
France,Algeria,1489151,787832,701319,2.2,48.5,3.1,36.4,0,0
Saudi Arabia,Indonesia,1368407,947919,420488,46.6,24.7,106.5,-6.1,0,0
USA,El Salvador,1352357,683083,669274,-77,38.9,-89.1,13.4,0,0
Germany,Turkey,1343522,701926,641596,13.3,52.3,32.54,39.57,0,0
C?te d'Ivoire,Burkina Faso,1325777,741614,584163,-5.2,6.5,-1.55,12.2,0,0
USA,Viet Nam,1300575,637503,663072,-77,38.9,105.6,21.1,0,0
USA,Cuba,1210674,571563,639111,-77,38.9,-82.2,23.1,0,0
Australia,United Kingdom,1206060,619846,586214,149.1,-35.3,-0.1,51.4,0,0
Lebanon,Syria,1194049,575741,618308,35.31,33.53,36.18,33.3,0,0
Saudi Arabia,Pakistan,1187817,844721,343096,46.6,24.7,73.1,33.4,0,0
Malaysia,Indonesia,1171677,731189,440488,101.41,3.09,106.5,-6.1,0,0
Russia,Uzbekistan,1146803,599638,547165,37.6,55.7,69.2,41.2,0,0
Singapore,Malaysia,1114858,482401,632457,103.8,1.3,101.41,3.09,0,0
USA,Dominican Republic,1086819,467139,619680,-77,38.9,-61.24,15.2,0,0
Oman,India,1076151,942362,133789,58.36,23.37,77.2,28.6,0,0
