destination,vol,people,long,lat,longdest,latdest,longoff,latoff
China,1,10461170,116.4,39.9,116.4,39.9,-20,0
USA,0.208782574,2184110,116.4,39.9,-77,38.9,0,0
South Korea,0.076761108,803011,116.4,39.9,126.9,37.5,0,0
Japan,0.074168855,775893,116.4,39.9,139.7,35.7,0,0
Canada,0.066836692,699190,116.4,39.9,-75.6,45.4,0,10
Australia,0.062443493,653232,116.4,39.9,149.1,-35.3,0,0
Singapore,0.040763509,426434,116.4,39.9,103.8,1.3,0,0
Italy,0.022305153,233338,116.4,39.9,12.3,41.5,0,0
United Kingdom,0.019904944,208229,116.4,39.9,-0.1,51.4,-40,0
Spain,0.017120838,179104,116.4,39.9,-3.5,40.25,0,0
Bangladesh,0.015258236,159619,116.4,39.9,90.26,23.43,0,0
NewZealand,0.013784978,144207,116.4,39.9,174.5,-41.2,0,0
Germany,0.01365918,142891,116.4,39.9,13.3,52.3,0,0
France,0.012034314,125893,116.4,39.9,2.2,48.5,0,0
India,0.010324658,108008,116.4,39.9,77.2,28.6,0,0
India,1,17869492,77.2,28.6,77.2,28.6,0,0
United Arab Emirates,0.19425846,3471300,77.2,28.6,54.3,24.4,-30,8
USA,0.152425374,2723764,77.2,28.6,-77,38.9,0,0
Saudi Arabia,0.140034031,2502337,77.2,28.6,46.6,24.7,-40,0
Pakistan,0.089377695,1597134,77.2,28.6,73.1,33.4,0,0
Oman,0.076984113,1375667,77.2,28.6,58.36,23.37,0,0
Kuwait,0.064477211,1152175,77.2,28.6,48,29.3,0,0
United Kingdom,0.046747775,835359,77.2,28.6,-0.1,51.4,-40,0
Canada,0.040296781,720083,77.2,28.6,-75.6,45.4,0,10
Qatar,0.03928556,702013,77.2,28.6,51.35,25.15,0,0
Australia,0.032416366,579264,77.2,28.6,149.1,-35.3,0,0
Nepal,0.023892173,426941,77.2,28.6,85.2,27.45,0,0
Bahrain,0.020431359,365098,77.2,28.6,50.3,26.1,0,-20
Italy,0.009360759,167272,77.2,28.6,12.3,41.5,0,0
Malaysia,0.008287645,148096,77.2,28.6,101.4,3.1,0,0
Singapore,0.00811271,144970,77.2,28.6,103.8,1.3,0,0
NewZealand,0.006855595,122506,77.2,28.6,174.5,-41.2,0,0
Germany,0.006023003,107628,77.2,28.6,13.3,52.3,0,0
Mexico,1,11185737,-99.1,19.24,-99.1,19.24,0,0
USA,0.970262845,10853105,-99.1,19.24,-77,38.9,0,0
Russia,1,10756697,37.6,55.7,37.6,55.7,0,0
Ukraine,0.309629062,3330586,37.6,55.7,30.5,50.4,0,0
Kazakhstan,0.230183857,2476018,37.6,55.7,71.4,51.1,0,0
Germany,0.111449732,1198831,37.6,55.7,13.3,52.3,0,0
Uzbekistan,0.080977181,871047,37.6,55.7,69.2,41.2,0,0
Belarus,0.062517425,672481,37.6,55.7,27.5,53.9,0,0
USA,0.036912911,397061,37.6,55.7,-77,38.9,0,0
Tajikistan,0.021846669,234998,37.6,55.7,68.48,38.33,0,0
Estonia,0.011071893,119097,37.6,55.7,24.48,59.22,0,0
Latvia,0.010855656,116771,37.6,55.7,24.08,56.53,0,0
Israel,0.01034853,111316,37.6,55.7,35.12,31.47,-28,0
Kyrgyzstan,0.010119649,108854,37.6,55.7,74.46,42.54,0,0
Syria,1,8457214,36.18,33.3,36.18,33.3,0,0
Turkey,0.448434319,3792505,36.18,33.3,32.54,39.57,0,5
Lebanon,0.123301243,1042785,36.18,33.3,35.31,33.53,0,5
Saudi Arabia,0.097344232,823261,36.18,33.3,46.6,24.7,-40,0
Germany,0.083651306,707457,36.18,33.3,13.3,52.3,0,0
Jordan,0.082615977,698701,36.18,33.3,35.52,31.57,-5,0
Iraq,0.030085676,254441,36.18,33.3,44.3,33.2,0,-5
Sweden,0.022570317,190882,36.18,33.3,18.03,59.2,-10,10
Egypt,0.014859858,125673,36.18,33.3,31.14,30.01,-5,-5
